Zip Code,Latitude,Longitude,City,State,County
99341,46.9706,-118.614,Lind,Washington,Adams
98424,47.2327,-122.3519,Fife,Washington,Pierce
98056,47.5409,-122.1765,Newport Hills,Washington,King
98027,47.5051,-121.9076,Upper Preston,Washington,King
98846,48.0555,-119.9,Pateros,Washington,Okanogan
98358,48.0509,-122.691,Nordland,Washington,Jefferson
99004,47.436,-117.7835,Tyler,Washington,Spokane
99009,48.0474,-117.2399,Camden,Washington,Pend Oreille
98283,48.4854,-121.6065,Rockport,Washington,Skagit
98366 98367,47.516,-122.6616,Port Orchard,Washington,Kitsap
98027,47.5237,-121.9271,Preston,Washington,King
98947,46.7027,-120.756,Tieton,Washington,Yakima
98579,46.8287,-123.0721,Rochester,Washington,Thurston
98605,45.7151,-121.4695,Bingen,Washington,Klickitat
98275,47.8857,-122.3051,Harbour Pointe,Washington,Snohomish
99040,47.8879,-117.988,Wellpinit,Washington,Stevens
98244,48.8902,-121.9323,Glacier,Washington,Whatcom
99128,47.0887,-117.0464,Farmington,Washington,Whitman
98245,48.6968,-122.9055,Eastsound,Washington,San Juan
98520,46.9705,-123.7018,Central Park,Washington,Grays Harbor
98310 98312 98314 98367 98337,47.5436,-122.7121,Bremerton,Washington,Kitsap
